snapshot,BE00-BEOF,BE00-FR00,BE00-NL00,NL00-NLLL
2013-03-01 00:00:00,1.0,1.0,1.0,1.0
2013-03-01 01:00:00,1.0,1.0,1.0,1.0
2013-03-01 02:00:00,1.0,1.0,1.0,1.0
2013-03-01 03:00:00,1.0,1.0,1.0,1.0
2013-03-01 04:00:00,1.0,1.0,1.0,1.0
2013-03-01 05:00:00,1.0,1.0,1.0,1.0
2013-03-01 06:00:00,1.0,1.0,1.0,1.0
2013-03-01 07:00:00,1.0,1.0,1.0,1.0
2013-03-01 08:00:00,1.0,1.0,1.0,1.0
2013-03-01 09:00:00,1.0,1.0,1.0,1.0
2013-03-01 10:00:00,1.0,1.0,1.0,1.0
2013-03-01 11:00:00,1.0,1.0,1.0,1.0
2013-03-01 12:00:00,1.0,1.0,1.0,1.0
2013-03-01 13:00:00,1.0,1.0,1.0,1.0
2013-03-01 14:00:00,1.0,1.0,1.0,1.0
2013-03-01 15:00:00,1.0,1.0,1.0,1.0
2013-03-01 16:00:00,1.0,1.0,1.0,1.0
2013-03-01 17:00:00,1.0,1.0,1.0,1.0
2013-03-01 18:00:00,1.0,1.0,1.0,1.0
2013-03-01 19:00:00,1.0,1.0,1.0,1.0
2013-03-01 20:00:00,1.0,1.0,1.0,1.0
2013-03-01 21:00:00,1.0,1.0,1.0,1.0
2013-03-01 22:00:00,1.0,1.0,1.0,1.0
2013-03-01 23:00:00,1.0,1.0,1.0,1.0
2013-03-02 00:00:00,1.0,1.0,1.0,1.0
2013-03-02 01:00:00,1.0,1.0,1.0,1.0
2013-03-02 02:00:00,1.0,1.0,1.0,1.0
2013-03-02 03:00:00,1.0,1.0,1.0,1.0
2013-03-02 04:00:00,1.0,1.0,1.0,1.0
2013-03-02 05:00:00,1.0,1.0,1.0,1.0
2013-03-02 06:00:00,1.0,1.0,1.0,1.0
2013-03-02 07:00:00,1.0,1.0,1.0,1.0
2013-03-02 08:00:00,1.0,1.0,1.0,1.0
2013-03-02 09:00:00,1.0,1.0,1.0,1.0
2013-03-02 10:00:00,1.0,1.0,1.0,1.0
2013-03-02 11:00:00,1.0,1.0,1.0,1.0
2013-03-02 12:00:00,1.0,1.0,1.0,1.0
2013-03-02 13:00:00,1.0,1.0,1.0,1.0
2013-03-02 14:00:00,1.0,1.0,1.0,1.0
2013-03-02 15:00:00,1.0,1.0,1.0,1.0
2013-03-02 16:00:00,1.0,1.0,1.0,1.0
2013-03-02 17:00:00,1.0,1.0,1.0,1.0
2013-03-02 18:00:00,1.0,1.0,1.0,1.0
2013-03-02 19:00:00,1.0,1.0,1.0,1.0
2013-03-02 20:00:00,1.0,1.0,1.0,1.0
2013-03-02 21:00:00,1.0,1.0,1.0,1.0
2013-03-02 22:00:00,1.0,1.0,1.0,1.0
2013-03-02 23:00:00,1.0,1.0,1.0,1.0
